PMID,left_frontal_pole,left_insular_cortex,left_superior_frontal_gyrus,left_middle_frontal_gyrus,left_inferior_frontal_gyrus_pars_triangularis,left_inferior_frontal_gyrus_pars_opercularis,left_precentral_gyrus,left_temporal_pole,left_superior_temporal_gyrus_anterior_division,left_superior_temporal_gyrus_posterior_division,left_middle_temporal_gyrus_anterior_division,left_middle_temporal_gyrus_posterior_division,left_middle_temporal_gyrus_temporooccipital_part,left_inferior_temporal_gyrus_anterior_division,left_inferior_temporal_gyrus_posterior_division,left_inferior_temporal_gyrus_temporooccipital_part,left_postcentral_gyrus,left_superior_parietal_lobule,left_supramarginal_gyrus_anterior_division,left_supramarginal_gyrus_posterior_division,left_angular_gyrus,left_lateral_occipital_cortex_superior_division,left_lateral_occipital_cortex_inferior_division,left_intracalcarine_cortex,left_frontal_medial_cortex,left_supplementary_motor_cortex,left_subcallosal_cortex,left_paracingulate_gyrus,left_cingulate_gyrus_anterior_division,left_cingulate_gyrus_posterior_division,left_precuneous_cortex,left_cuneal_cortex,left_frontal_orbital_cortex,left_parahippocampal_gyrus_anterior_division,left_parahippocampal_gyrus_posterior_division,left_lingual_gyrus,left_temporal_fusiform_cortex_anterior_division,left_temporal_fusiform_cortex_posterior_division,left_temporal_occipital_fusiform_cortex,left_occipital_fusiform_gyrus,left_frontal_operculum_cortex,left_central_opercular_cortex,left_parietal_operculum_cortex,left_planum_polare,left_heschls_gyrus,left_planum_temporale,left_supracalcarine_cortex,left_occipital_pole,left_thalamus,left_caudate,left_putamen,left_pallidum,left_hippocampus,left_amygdala,left_accumbens,left_brainstem,left_cerebellar_lobules,left_cerebellar_crus,left_cerebellar_vermis,right_frontal_pole,right_insular_cortex,right_superior_frontal_gyrus,right_middle_frontal_gyrus,right_inferior_frontal_gyrus_pars_triangularis,right_inferior_frontal_gyrus_pars_opercularis,right_precentral_gyrus,right_temporal_pole,right_superior_temporal_gyrus_anterior_division,right_superior_temporal_gyrus_posterior_division,right_middle_temporal_gyrus_anterior_division,right_middle_temporal_gyrus_posterior_division,right_middle_temporal_gyrus_temporooccipital_part,right_inferior_temporal_gyrus_anterior_division,right_inferior_temporal_gyrus_posterior_division,right_inferior_temporal_gyrus_temporooccipital_part,right_postcentral_gyrus,right_superior_parietal_lobule,right_supramarginal_gyrus_anterior_division,right_supramarginal_gyrus_posterior_division,right_angular_gyrus,right_lateral_occipital_cortex_superior_division,right_lateral_occipital_cortex_inferior_division,right_intracalcarine_cortex,right_frontal_medial_cortex,right_supplementary_motor_cortex,right_subcallosal_cortex,right_paracingulate_gyrus,right_cingulate_gyrus_anterior_division,right_cingulate_gyrus_posterior_division,right_precuneous_cortex,right_cuneal_cortex,right_frontal_orbital_cortex,right_parahippocampal_gyrus_anterior_division,right_parahippocampal_gyrus_posterior_division,right_lingual_gyrus,right_temporal_fusiform_cortex_anterior_division,right_temporal_fusiform_cortex_posterior_division,right_temporal_occipital_fusiform_cortex,right_occipital_fusiform_gyrus,right_frontal_operculum_cortex,right_central_opercular_cortex,right_parietal_operculum_cortex,right_planum_polare,right_heschls_gyrus,right_planum_temporale,right_supracalcarine_cortex,right_occipital_pole,right_thalamus,right_caudate,right_putamen,right_pallidum,right_hippocampus,right_amygdala,right_accumbens,right_brainstem,right_cerebellar_lobules,right_cerebellar_crus,right_cerebellar_vermis
27181060,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
20357127,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
20537351,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
27230218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
23404563,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21962775,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
28262423,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1
21766170,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
24739875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21364772,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0
